I, [2022-11-16T10:32:29.238437 #4637]  INFO -- : cat creation 222
I, [2022-11-16T10:32:29.239362 #4637]  INFO -- : cat creation 111
I, [2022-11-16T11:05:42.446042 #6768]  INFO -- : cat creation XYZ
I, [2022-11-16T11:05:42.447355 #6768]  INFO -- : #<Cat id: nil, birth_date: "2022-01-01", color: "ginger", name: "Gustav", sex: "M", description: "Cutest kitty", created_at: nil, updated_at: nil, image_url: "https://i.postimg.cc/vHgqcMJ8/profile1.jpg", user_id: nil>
I, [2022-11-16T11:13:01.147034 #6838]  INFO -- : cat creation XYZ
I, [2022-11-16T11:13:01.147085 #6838]  INFO -- : #<Cat id: 2345, birth_date: "2022-01-01", color: "ginger", name: "Gustav", sex: "M", description: "Cutest kitty", created_at: "2022-05-01 00:00:00", updated_at: "2022-05-01 00:00:00", image_url: "https://i.postimg.cc/vHgqcMJ8/profile1.jpg", user_id: 3456>
I, [2022-11-16T11:14:50.687637 #6879]  INFO -- : cat creation XYZ
I, [2022-11-16T11:14:50.687691 #6879]  INFO -- : #<Cat id: 2345, birth_date: "2022-01-01", color: "ginger", name: "Gustav", sex: "M", description: "Cutest kitty", created_at: "2022-05-01 00:00:00", updated_at: "2022-05-01 00:00:00", image_url: "https://i.postimg.cc/vHgqcMJ8/profile1.jpg", user_id: 3456>
I, [2022-11-16T11:16:14.046932 #6933]  INFO -- : cat creation XYZ
I, [2022-11-16T11:16:14.047190 #6933]  INFO -- : #<Cat id: 2345, birth_date: "2022-01-01", color: "ginger", name: "Gustav", sex: "M", description: "Cutest kitty", created_at: "2022-05-01 00:00:00", updated_at: "2022-05-01 00:00:00", image_url: "https://i.postimg.cc/vHgqcMJ8/profile1.jpg", user_id: 3456>
I, [2022-11-16T11:20:18.170820 #7010]  INFO -- : cat creation XYZ
I, [2022-11-16T11:20:18.170988 #7010]  INFO -- : #<Cat id: 2345, birth_date: "2022-01-01", color: "ginger", name: "Gustav", sex: "M", description: "Cutest kitty", created_at: "2022-05-01 00:00:00", updated_at: "2022-05-01 00:00:00", image_url: "https://i.postimg.cc/vHgqcMJ8/profile1.jpg", user_id: 3456>
I, [2022-11-16T11:23:28.985900 #7070]  INFO -- : cat creation XYZ
I, [2022-11-16T11:23:28.986099 #7070]  INFO -- : #<Cat id: 2345, birth_date: "2022-01-01", color: "ginger", name: "Gustav", sex: "M", description: "Cutest kitty", created_at: "2022-05-01 00:00:00", updated_at: "2022-05-01 00:00:00", image_url: "https://i.postimg.cc/vHgqcMJ8/profile1.jpg", user_id: 3456>
I, [2022-11-16T15:04:18.085536 #10887]  INFO -- : LOLLLL
I, [2022-11-16T15:04:18.085824 #10887]  INFO -- : User(id: integer, username: string, password_digest: string, session_token: string, created_at: datetime, updated_at: datetime)
